TimeStamp|Site|ArticleNumber|MCH5|BaseUoM|UnreUseQty|UnreConsQty|TransitQty|UnprSaleQty
20231002051008|1511|10330553|203010203|ZBO||||
20231002051008|1511|10326889|102030702|G1||||
20231002051008|1511|10195631|102030411|HOP||||
20231002051008|1511|10306143|203020602|CAI||||
20231002051008|1511|10331117|201050101|CAI||||
20231002051008|1511|10331258|201052102|CAI||||
20231002051008|1511|10265418|201010503|ZBO||||
20231002051008|1511|10331989|201030502|CAI||||
20231002051008|1511|10195992|102010309|CAI||||
20231002051008|1511|10283134|101020101|G1||||
20231002051008|1511|10260685|201010201|CAI||||
20231002051008|1511|10331000|201010401|CAI||||
20231002051008|1511|10265821|101030403|KH||||
20231002051008|1511|10141033|102060409|G1||||
20231002051008|1511|10025572|203030304|CAI||||
20231002051008|1511|10170638|202020109|G1||||
20231002051008|1511|10018629|202030401|CAI||||
20231002051008|1511|10617611|202030502|CHA||||
20231002051008|1511|10195867|102010507|G1||||
20231002051008|1511|10009066|102060503|CHA||||
20231002051008|1511|10142060|102060905|G1||||
20231002051008|1511|30000679|101010401|CAI||||
20231002051008|1511|10195652|102030102|LON||||
20231002051008|1511|10197060|102070101|CAI||||
20231002051008|1511|10638154|101040501|KH||||
20231002051008|1511|10266029|201031004|CAI||||
20231002051008|1511|10195975|102010102|HOP||||
20231002051008|1511|10629976|202010302|G1||||
20231002051008|1511|10240763|101010303|HOP||||
20231002051008|1511|10622836|102060601|G1||||
20231002051008|1511|10263637|201010105|ZD||||
20231002051008|1511|10019806|202020213|G1||||
20231002051008|1511|10326159|203040309|CAI||||
20231002051008|1511|10183330|101040402|KH||||
20231002051008|1511|10132376|203030332|ZBO||||
20231002051008|1511|10170909|202010204|G1||||
20231002051008|1511|10282795|101020102|HOP||||
20231002051008|1511|10184210|101010401|CAI||||
20231002051008|1511|10181462|101020102|SU||||
20231002051008|1511|10282397|101030402|G1||||
20231002051008|1511|10020774|202010204|G1||||
20231002051008|1511|10629972|202010302|G1||||
20231002051008|1511|10629772|102061001|HOP||||
20231002051008|1511|10162366|202030318|CHA||||
20231002051008|1511|10018951|202030301|CAI||||
20231002051008|1511|10332606|203040511|QUY||||
